Ronda N°1,Equipo 1,Cant. goles 1,Cant. goles 2,Equipo 2
1,Argentina,1,2,Arabia Saudita
1,Polonia,0,0,Mexico
1,Argentina,2,0,Mexico
1,Polonia,2,0,Arabia Saudita
